tokens_requested,tokens_actual,usage_prompt_tokens,usage_completion_tokens,usage_total_tokens,finish_reason,response_id,model_id,success,status_code,error,latency_s,tokens_per_second
64000,59536,59543,8,59551,completed,resp_04a9157e4344fc780069ced42622cc819585d8e56178554a6c,gpt-5.4,True,,,15.871,3751.7
128000,119269,119276,8,119284,completed,resp_0f75a34b3b7aa6ce0069ced42e048081978743630bc4d95daa,gpt-5.4,True,,,3.075,38788.6
192000,179003,179010,8,179018,completed,resp_076fe08885dce2e30069ced430f3948197bee7061edd4a3c93,gpt-5.4,True,,,4.619,38753.8
256000,238736,238743,8,238751,completed,resp_0b7a8409ecb473360069ced43679a8819787f9f6e586362194,gpt-5.4,True,,,5.597,42658.8
320000,298469,298476,8,298484,completed,resp_09a9cad4260b060b0069ced43cebf48193baad7ab4fc868df0,gpt-5.4,True,,,6.504,45892.5
384000,358203,358210,8,358218,completed,resp_09f9211b68e28b1f0069ced467530c81939f76e05e90c7b4e5,gpt-5.4,True,,,46.172,7758.2
448000,417936,417943,8,417951,completed,resp_0a917574a1f7ccb30069ced498ab088190825cd505a61d6ac3,gpt-5.4,True,,,49.773,8396.9
512000,477669,477676,8,477684,completed,resp_092e98f431fd5ffb0069ced4a5a878819580e9f42c0bf67cf9,gpt-5.4,True,,,9.056,52744.4
576000,537403,537410,8,537418,completed,resp_0f91f006088441300069ced4af5724819498188812d1dff7c5,gpt-5.4,True,,,13.442,39979.4
640000,597136,597143,8,597151,completed,resp_07343ac8df76ae090069ced4bd7cb88196ad62d31321b84a9f,gpt-5.4,True,,,12.351,48346.9
704000,656869,656876,8,656884,completed,resp_0815483b0ee9b03b0069ced4cac4b88195910162c5474a4307,gpt-5.4,True,,,13.971,47016.8
768000,716603,716610,8,716618,completed,resp_09ea54446c72521d0069ced4d98c548195bcf18be05b224fcf,gpt-5.4,True,,,14.547,49260.3
832000,776336,776343,8,776351,completed,resp_0f8a91a0089224440069ced4e8f3a8819098cf49badd518bd9,gpt-5.4,True,,,16.589,46799.1
896000,836069,836076,8,836084,completed,resp_012d057f103d55a00069ced4fa82dc8197a754231d93df8657,gpt-5.4,True,,,18.127,46123.3
960000,895803,895810,8,895818,completed,resp_0fef1c30839ada200069ced50da0bc8195a2dfae704e307e5b,gpt-5.4,True,,,19.056,47009.4
1024000,955538,,,,,,,False,,"Error code: 400 - {'error': {'message': 'Your input exceeds the context window of this model. Please adjust your input and try again.', 'type': 'invalid_request_error', 'param': 'input', 'code': 'context_length_exceeded'}}",5.467,174780.6
